JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455484.94306,0.6,,,Vis.,CKB,,03,11,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455484.95972,0.2,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455485.58,0.5,,,Vis.,MTON,K,E,,SPAVSS,E+3,,,Z,,,,ALF ORI,BAA-VSS,STD,,,,
2455485.75694,-0.1,,,Vis.,BBA,,0.1,,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455485.9,0.4,,,Vis.,LZT,B,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455485.93403,0.4,,,Vis.,BWAA,,0.7,0.9,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455485.95139,0.4,,,Vis.,BWAA,,0.7,0.9,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455486.46,0.5,,,Vis.,KTZ,,00,12,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2455486.75486,0.1,,,Vis.,BBA,B,0.1,,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455486.83056,0.5,,,Vis.,ZPA,,0.1,0.9,10star,Naked Eye Estimate,,,Z,,,,alf Ori,,STD,,,,
2455487.5667,0.5,,,Vis.,KBA,K,038,085,A,THE SKY 2000 MASTER STAR CATALOG,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455487.728,0.50,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455488.6,0.3,,,Vis.,SPAO,,03,17,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455488.6750,0.9,,,Vis.,BSR,,0.5,1.1,SA1969,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455489.538,0.5,,,Vis.,MTON,KB,E,,SPAVSS,E+3,,,Z,,,,ALF ORI,BAA-VSS,STD,,,,
2455489.719,0.61,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455489.79583,0.0,,,Vis.,BBA,UB,0.1,,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455491.5,0.2,,,Vis.,BNW,,01,03,680101,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455491.9,0.7,,,Vis.,MOW,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455492.6611,0.4,,,Vis.,ILE,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455493.600,0.6,,,Vis.,FRF,,05,11,1968,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455494.5,0.2,,,Vis.,BNW,,01,03,680101,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455494.740,0.74,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455495.7,0.2,,,Vis.,SUS,,02,03,680101,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455496.00000,0.3,,,Vis.,HTN,,01,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455497.6,0.1,,,Vis.,SPAO,U,03,,680301,Clouds,,,Z,,,,ALF ORI,UAI,STD,,,,
2455498.91736,0.6,,,Vis.,CKB,,03,11,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455499.66944,0.5,,,Vis.,DMA,,0.1,0.9,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455500.39583,0.1,,,Vis.,TTU,,0.08,"""0.18, 0.87""",J,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455500.44,0.6,,,Vis.,KTZ,,00,12,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2455500.5069,0.5,,,Vis.,KBA,K,038,085,A,THE SKY 2000 MASTER STAR CATALOG,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455501.00000,0.0,,,Vis.,HTN,,01,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455501.70069,0.1,,,Vis.,MWVA,,01,21,10star,,,,Z,,,,alf Ori,AAVSO,STD,,,,
2455501.9,0.8,,,Vis.,MOW,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455501.96250,0.3,,,Vis.,BGZ,,03,,SA1968,,,,Z,,,,ALF ORI,,STD,,,,
2455502.7,0.4,,,Vis.,SUS,,02,05,680101,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455502.71319,0.0,,,Vis.,MDP,B,0.1,0.4,10star,streetlights;seemed brighter than any other star,,,Z,,,,ALF ORI,,STD,,,,
2455503.00000,0.0,,,Vis.,HTN,,01,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455504.30556,0.5,,,Vis.,SSJA,K,01,09,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455505.29722,0.5,,,Vis.,SSJA,K,01,09,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455505.9,0.5,,,Vis.,SWV,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455506.00000,-0.1,,,Vis.,HTN,,01,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455506.75833,0.3,,,Vis.,CKB,,03,110,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455506.76458,0.1,,,Vis.,BBA,,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455507.31806,0.6,,,Vis.,SSJA,K,01,09,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455507.40139,0.6,,,Vis.,SSJA,K,01,09,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455507.45,0.3,,,Vis.,BQ,B,0.1,1.0,A,NAKED EYE,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455507.5722,0.3,,,Vis.,KBA,K,012,038,A,THE SKY 2000 MASTER STAR CATALOG,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455507.78472,0.1,,,Vis.,VJCA,,0.1,2.1,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455507.94499,0.3,,,Vis.,HBJA,BK,rigel,procyon,training chart,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2455508.4285,0.5,,,Vis.,ILE,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455508.64375,0.1,,,Vis.,DMA,,0.1,0.9,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455508.9,0.4,,,Vis.,LZT,B,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455509.30278,0.5,,,Vis.,SSJA,K,01,09,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455509.40625,0.2,,,Vis.,TTU,,0.08,"""0.18, 0.87""",J,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455509.439,0.32,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455509.74306,0.1,,,Vis.,BBA,,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455509.81111,0.15,,,Vis.,MDP,,0.1,0.5,10star,very bright,,,Z,,,,ALF ORI,,STD,,,,
2455510.26389,0.2,,,Vis.,QYIA,B,0.1,,training chart,much brighter than Aldebaran,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455510.26667,0.5,,,Vis.,SSJA,K,01,09,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455510.44,0.3,,,Vis.,KTZ,,00,12,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2455510.7,0.3,,,Vis.,SUS,,02,05,680101,,,,Z,,,,ALF ORI,BAV,STD,,,,
2455510.94828,0.35,,,Vis.,HBJA,BU,0.4,0.1,training chart,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2455511.00000,0.1,,,Vis.,HTN,,01,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455511.414,0.50,,,Vis.,KUC,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455511.50694,0.2,,,Vis.,SSJA,K,01,09,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455511.7118,0.8,,,Vis.,BSR,,0.5,1.1,SA1968,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455511.75833,0.0,,,Vis.,BBA,,0.1,,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455511.76250,0.05,,,Vis.,MDP,,0.1,0.4,10star,very bright,,,Z,,,,ALF ORI,,STD,,,,
2455511.9,0.8,,,Vis.,MOW,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455512.25694,0.2,,,Vis.,SSJA,K,01,09,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455512.40,0.2,,,Vis.,BQ,,0.1,1.0,A,naked eye,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455512.43,0.4,,,Vis.,KTZ,,00,12,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2455512.70,0.3,,,Vis.,KSZ,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455513.625,0.4,,,Vis.,MTON,K,E,,SPAVSS,E+4,,,Z,,,,ALF ORI,BAA-VSS,STD,,,,
2455513.67847,0.5,,,Vis.,BWAA,,0.1,0.9,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455513.72222,0.3,,,Vis.,RJJA,,04,01,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455514.29514,0.0,,,Vis.,SSJA,K,01,09,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455514.3312,0.4,,,Vis.,ILE,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455514.45,0.2,,,Vis.,BQ,,0.1,1.0,A,naked eye,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455514.7014,1.0,,,Vis.,KGT,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455514.75000,-0.1,,,Vis.,HTN,,01,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455514.75000,0.2,,,Vis.,RJJA,,01,04,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455515.01736,0.3,,,Vis.,BJS,,0.1,0.4,Citizen Sky,,,,Z,,,,ALF ORI,,STD,,,,
2455515.44,0.4,,,Vis.,KTZ,,00,12,HIP,,,,Z,,,,ALF ORI,,STD,,,,
2455515.5375,0.3,,,Vis.,KBA,K,012,038,A,THE SKY 2000 MASTER STAR CATALOG,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455515.72778,0.2,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455516.39,0.3,,,Vis.,BQ,,0.1,1.0,A,naked eye,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455516.5000,0.2,,,Vis.,SGYO,,02,03,101116,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455517.97569,0.2,,,Vis.,BJS,B,0.1,0.4,Citizen Sky,,,,Z,,,,ALF ORI,,STD,,,,
2455517.97986,0.4,,,Vis.,CKB,,03,110,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455518.4,0.1,,,Vis.,SPAO,,03,,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455518.75000,0.1,,,Vis.,HTN,,01,,training chart,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455519.66736,0.1,,,Vis.,SMDB,B,01,09,10 Star,,,,Z,,,,ALF ORI,,STD,,,,
2455519.80347,0.1,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455520.3875,0.3,,,Vis.,ILE,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455520.84167,0.5,,,Vis.,BBA,UB,0.4,0.9,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455522.25347,0.0,,,Vis.,SSJA,K,01,09,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455523.78403,0.4,,,Vis.,BBA,UB,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455524.66667,0.4,,,Vis.,HDAA,B,01,21,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455524.69444,0.0,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455524.8,0.7,,,Vis.,MOW,B,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
2455524.93750,0.3,,,Vis.,SPEA,U,bet ori,kap ori,10star,Naked eye,,,Z,,,,ALF ORI,,STD,,,,
2455525.3431,0.3,,,Vis.,ILE,,000,,999999,,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455525.4,0.1,,,Vis.,SPAO,,03,,680301,,,,Z,,,,ALF ORI,UAI,STD,,,,
2455525.42,0.3,,,Vis.,BQ,BU,0.1,1.0,A,naked eye,,,Z,,,,ALF ORI,MCSE,STD,,,,
2455526.59861,0.1,,,Vis.,SMDB,L,01,09,10 Star,,,,Z,,,,ALF ORI,,STD,,,,
2455526.74236,0.2,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455527.38403,0.4,,,Vis.,BVS,W,02,11,3342cig,Naked eye,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455527.43750,0.2,,,Vis.,TTU,,0.08,"""0.18, 0.40, 0.87""",J,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455527.51528,0.0,,,Vis.,SSJA,K,01,09,10-STAR PDF,10-STAR TRAINING PROGRAM,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455527.72708,0.5,,,Vis.,CKB,,03,11,SA (1968),,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455527.78125,0.1,,,Vis.,BBA,B,0.1,0.4,TEN STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2455528.43194,0.2,,,Vis.,MVO,,04,,080101,,,,Z,,,,ALF ORI,URSA,STD,,,,
2455528.68958,0.2,,,Vis.,DMA,,0.1,0.4,10star,,,,Z,,,,ALF ORI,,STD,,,,
2455528.75000,0.2,,,Vis.,DMPA,,01,04,10 star,,,,Z,,,,ALF ORI,,STD,,,,
2455529.71458,0.2,,,Vis.,MDP,,01,04,10 star,soft focus,,,Z,,,,ALF ORI,RASC,STD,,,,
2455529.8090,0.8,,,Vis.,KSP,,NA,,NA,,,,Z,,,,ALF ORI,,STD,,,,
